community,ApartmentTpye,P/m2,address,houseSize,down-payment,year,toward,pricePerMonth,houseTpye,layer,decorate,SingelLabel,detailUrl
十里方圆,3室2厅2卫,,8716 元/m²鹤山市－中山路－,大雁山风景区西麓,109平方米,28.50万,2018年,南,普通住宅,中层(共32层),精装修,70年,有,不满二年,商品房唯一,https://jiangmen.anjuke.com/prop/view/A1595210566?from=filter&spread=commsearch_p&position=1&kwtype=filter&now_time=1555664660
凯旋堡,3室2厅1卫,,10759 元/m²江海区－中环广场－,江翠路28号,79平方米,25.50万,2015年,南,普通住宅,低层(共9层),豪华装修,满二年不唯一,https://jiangmen.anjuke.com/prop/view/A1612860310?from=filter&spread=commsearch_p&position=2&kwtype=filter&now_time=1555664660
十里方圆,3室2厅2卫,,8037 元/m²鹤山市－中山路－,大雁山风景区西麓,107平方米,25.80万,2013年,南北,普通住宅,中层(共32层),精装修,满五年唯一,https://jiangmen.anjuke.com/prop/view/A1598181055?from=filter&spread=commsearch_p&position=3&kwtype=filter&now_time=1555664660
珠江帝景湾,2室2厅1卫,,10143 元/m²蓬江区－双龙广场－,天宁路3号,81.8平方米,24.90万,2015年,东北,普通住宅,低层(共39层),豪华装修,70年,有,满五年,商品房唯一,https://jiangmen.anjuke.com/prop/view/A1656640382?from=filter&spread=commsearch_p&position=4&kwtype=filter&now_time=1555664660
碧华园(三期),3室2厅2卫,,7280 元/m²新会区－新会周边－,新会大道,123.6平方米,27.00万,2012年,南,普通住宅,低层(共11层),豪华装修,70年,有,不满二年,商品房不唯一,https://jiangmen.anjuke.com/prop/view/A1645505209?from=filter&spread=commsearch_p&position=5&kwtype=filter&now_time=1555664660
外海翡翠华府,3室2厅1卫,,11529 元/m²江海区－外海－,中华大道,85平方米,29.40万,2015年,南,普通住宅,中层(共12层),豪华装修,70年,有,满二年,商品房唯一,https://jiangmen.anjuke.com/prop/view/A1655948209?from=filter&spread=commsearch_p&position=6&kwtype=filter&now_time=1555664660
碧桂园柏丽郡,3室2厅2卫,,10000 元/m²新会区－新会周边－,新港大道,90平方米,27.00万,2014年,南北,普通住宅,高层(共21层),豪华装修,70年,有,满二年,商品房唯一,https://jiangmen.anjuke.com/prop/view/A1644029672?from=filter&spread=commsearch_p&position=7&kwtype=filter&now_time=1555664660
锦绣华虹,3室2厅1卫,,6667 元/m²鹤山市－中山路－,新业路,135平方米,27.00万,2005年,南北,普通住宅,高层(共7层),豪华装修,70年,有,满二年,商品房唯一,https://jiangmen.anjuke.com/prop/view/A1656359329?from=filter&spread=commsearch_p&position=8&kwtype=filter&now_time=1555664660
十里方圆,3室2厅2卫,,7494 元/m²鹤山市－中山路－,大雁山风景区西麓,112.1平方米,25.20万,2020年,南,普通住宅,低层(共33层),精装修,70年,有,不满二年,商品房唯一,https://jiangmen.anjuke.com/prop/view/A1657637809?from=filter&spread=commsearch_p&position=9&kwtype=filter&now_time=1555664660
碧桂园星语,3室2厅2卫,,7714 元/m²鹤山市－中山路－,文明路,105平方米,24.30万,2011年,南,普通住宅,高层(共8层),精装修,70年,无,满五年,商品房不唯一,https://jiangmen.anjuke.com/prop/view/A1633900500?from=filter&spread=commsearch_p&position=10&kwtype=filter&now_time=1555664660
明泰城,3室1厅1卫,,10267 元/m²江海区－滘头－,东海路,89.6平方米,27.60万,2018年,南,普通住宅,低层(共31层),毛坯,70年,有,不满二年,商品房不唯一,https://jiangmen.anjuke.com/prop/view/A1623308821?from=filter&spread=commsearch_p&position=11&kwtype=filter&now_time=1555664660
曙光东路161号小区,3室2厅2卫,,4250 元/m²开平市－幸福－,曙光东路161号,80平方米,10.20万,2004年,东南,普通住宅,低层(共7层),豪华装修,70年,无,满二年,商品房唯一,https://jiangmen.anjuke.com/prop/view/A1644204518?from=filter&spread=commsearch_p&position=12&kwtype=filter&now_time=1555664660
峻廷湾,4室2厅2卫,,7259 元/m²鹤山市－中山路－,新环路,135平方米,29.40万,2018年,南,普通住宅,中层(共31层),豪华装修,70年,有,不满二年,商品房唯一,https://jiangmen.anjuke.com/prop/view/A1653239241?from=filter&spread=commsearch_p&position=13&kwtype=filter&now_time=1555664660
十里方圆,3室2厅1卫,,8706 元/m²鹤山市－中山路－,大雁山风景区西麓,85平方米,22.20万,2018年,北,普通住宅,高层(共32层),精装修,70年,有,不满二年,商品房唯一,https://jiangmen.anjuke.com/prop/view/A1595174433?from=filter&spread=commsearch_p&position=14&kwtype=filter&now_time=1555664660
建馨阁,3室2厅2卫,,7698 元/m²蓬江区－育德－,院士路,113平方米,26.10万,2000年,南北,普通住宅,低层(共8层),精装修,70年,无,满五年,商品房唯一,https://jiangmen.anjuke.com/prop/view/A1603749297?from=filter&spread=commsearch_p&position=15&kwtype=filter&now_time=1555664660
十里方圆,3室2厅2卫,,8000 元/m²鹤山市－中山路－,大雁山风景区西麓,115平方米,27.60万,2017年,南,普通住宅,低层(共30层),精装修,满五年唯一,https://jiangmen.anjuke.com/prop/view/A1590568613?from=filter&spread=commsearch_p&position=16&kwtype=filter&now_time=1555664660
天骄半岛,4室2厅2卫,,9874 元/m²江海区－中环广场－,富华路,95平方米,28.14万,2012年,南,普通住宅,高层(共16层),毛坯,70年,有,满二年,商品房不唯一,https://jiangmen.anjuke.com/prop/view/A1652176515?from=filter&spread=commsearch_p&position=17&kwtype=filter&now_time=1555664660
海伦湾,3室2厅1卫,,10444 元/m²江海区－外海－,江海五路,90平方米,28.20万,2016年,南,普通住宅,高层(共26层),毛坯,70年,有,满二年,商品房唯一,https://jiangmen.anjuke.com/prop/view/A1647529996?from=filter&spread=commsearch_p&position=18&kwtype=filter&now_time=1555664660
怡康华庭,3室2厅2卫,,8535 元/m²蓬江区－中天国际－,白石大道138号,105.4平方米,27.00万,2008年,东南,普通住宅,中层(共8层),豪华装修,满五年唯一,https://jiangmen.anjuke.com/prop/view/A1565193220?from=filter&spread=commsearch_p&position=19&kwtype=filter&now_time=1555664660
