title,community,ApartmentTpye,perPrice,address,houseSize,down-payment,startYear,toward,pricePerMonth,houseTpye,floor,decorate,rightLimit,lift,houseAge,rightProperty,SingelHouse,detailUrl
收官之作  十里方圆云玺  8字头精装低首付团购中！！！,十里方圆,3室2厅2卫,8716 元/m²,鹤山市－中山路－大雁山风景区西麓,109平方米,28.50万,2018年,南,,普通住宅,中层(共32层),精装修,70年,有,不满二年,商品房,是,https://jiangmen.anjuke.com/prop/view/A1595210566?from=filter&spread=commsearch_p&position=1&kwtype=filter&now_time=1556388198
碧桂园星语带装修3房 过户费低 户型靓 光线足 看房方便,碧桂园星语,3室2厅2卫,7547 元/m²,鹤山市－中山路－文明路,106平方米,24.00万,2011年,南,,普通住宅,高层(共8层),精装修,70年,有,满五年,商品房,否,https://jiangmen.anjuke.com/prop/view/A1654271475?from=filter&spread=commsearch_p&position=2&kwtype=filter&now_time=1556388198
十里方圆好消息 现可一成首付6万起 名额有限 有精装装修,十里方圆,3室2厅2卫,7391 元/m²,鹤山市－中山路－大雁山风景区西麓,115平方米,25.50万,2017年,南,,普通住宅,低层(共30层),精装修,70年,有,满五年,商品房,是,https://jiangmen.anjuke.com/prop/view/A1660258942?from=filter&spread=commsearch_p&position=3&kwtype=filter&now_time=1556388198
碧华园三期送 露台50方豪装全屋家私家电自能一体化,碧华园(三期),3室2厅2卫,7280 元/m²,新会区－新会周边－新会大道,123.6平方米,27.00万,2012年,南,,普通住宅,低层(共11层),豪华装修,70年,有,不满二年,商品房,否,https://jiangmen.anjuke.com/prop/view/A1645505209?from=filter&spread=commsearch_p&position=4&kwtype=filter&now_time=1556388198
雅景阳光城 85万电梯 3室2厅1卫 精装修急售！好房不等人,雅景阳光城,3室2厅1卫,8673 元/m²,新会区－新会周边－今源路6号,98平方米,25.50万,2015年,南北,,普通住宅,高层(共11层),精装修,70年,有,不满二年,商品房,否,https://jiangmen.anjuke.com/prop/view/A1642562845?from=filter&spread=commsearch_p&position=5&kwtype=filter&now_time=1556388198
建馨阁无税87.00万元精装修南北送30平超大阳台,建馨阁,3室2厅2卫,7698 元/m²,蓬江区－育德－院士路,113平方米,26.10万,2000年,南北,,普通住宅,低层(共8层),精装修,70年,无,满五年,商品房,是,https://jiangmen.anjuke.com/prop/view/A1603749297?from=filter&spread=commsearch_p&position=6&kwtype=filter&now_time=1556388198
笋！首付24万！买府西新城三房！景贤小学，江海区城芯！,明泰城,3室1厅1卫,10267 元/m²,江海区－滘头－东海路,89.6平方米,27.60万,2018年,南,,普通住宅,低层(共31层),毛坯,70年,有,不满二年,商品房,否,https://jiangmen.anjuke.com/prop/view/A1623308821?from=filter&spread=commsearch_p&position=7&kwtype=filter&now_time=1556388198
兴业苑 首付12万 南北通透 满五惟一 周边配套成熟 带车位,兴业苑,3室2厅1卫,4545 元/m²,鹤山市－中山路－中山路,99平方米,13.50万,2003年,南,,普通住宅,中层(共7层),精装修,70年,有,满五年,商品房,是,https://jiangmen.anjuke.com/prop/view/A1660981849?from=filter&spread=commsearch_p&position=8&kwtype=filter&now_time=1556388198
汇星园超笋盘，电梯毛坯健康三房，低首付，等你信息,汇星园,3室2厅2卫,8315 元/m²,蓬江区－滨江新区－潮连大道,106.8平方米,26.64万,2013年,东南,,普通住宅,中层(共11层),毛坯,70年,有,不满二年,商品房,否,https://jiangmen.anjuke.com/prop/view/A1657074741?from=filter&spread=commsearch_p&position=9&kwtype=filter&now_time=1556388198
降价20万！兴华苑小区！低楼层靓房送50方大平台，拎包入住,兴华苑,3室2厅4卫,7239 元/m²,蓬江区－江华小学－东华一路,121.6平方米,26.40万,2003年,南北,,普通住宅,中层(共7层),精装修,70年,无,满二年,商品房,是,https://jiangmen.anjuke.com/prop/view/A1656268135?from=filter&spread=commsearch_p&position=10&kwtype=filter&now_time=1556388198
