title,perPrice,totalPrice,ApartmentTpye,houseSize,startYear,toward,floor,address,community,detailUrl,label
 115万出售中天国际精装两房!高楼层!采光好!,12713元每平方米,115万元,2室2厅,46平方米,2011年建,南向,高层（共11层）,北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/3_351023669.htm?channel=l,2&psid=4_1_60",优质教育
 骏凯豪庭 只需17万首期 2室2厅1卫 豪华装修您看过吗 有,8375元每平方米,67万元,2室2厅,80平方米,2011年建,南向,高层（共12层）,北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/3_357384789.htm?channel=l,2&psid=4_2_60"
 成熟商圈《业主即降5万》实用3房,11996元每平方米,120万元,3室2厅,03平方米,2011年建,南向,低层（共17层）,北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/3_355927801.htm?channel=l,2&psid=4_3_60",满二优质教育
 保利三期带全新装修 实用南向三房 电梯中层望园景 入读范罗岗!,14444元每平方米,130万元,3室2厅,90平方米,2018年建,用南向,中层（共18层）,北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/3_351265648.htm?channel=l,2&psid=4_4_60",满二
" 五福街,低于市场价,送摩托车房小区内安全性高带",4706元每平方米,48万元,2室2厅,102平方米,1996年建,南向,高层（共9层）,北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/3_354757123.htm?channel=l,2&psid=4_5_60",优质教育
" 奥园外滩江景大三房带装出售,低楼层,业主急降5万",14407元每平方米,170万元,3室2厅,118平方米,2015年建,南向,低层（共25层）,北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/3_352673089.htm?channel=l,2&psid=4_6_60"
 新会中心城区 正规三房 南北对流 有车位 满五免个税,4250元每平方米,34万元,3室2厅,80平方米,2009年建,南向,高层（共8层）,北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/3_347902759.htm?channel=l,2&psid=4_7_60",优质教育
 (杜绝虚假)3房2卫 南北对流 别墅景观,12581元每平方米,117万元,3室2厅,93平方米,2015年建,北向,中层（共33层）,北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/3_349603791.htm?channel=l,2&psid=4_8_60",优质教育
 (房天下自营)越秀星汇名庭 南北通透 中间楼层紫茶双学.位,16406元每平方米,210万元,3室2厅,128平方米,2013年建,南北向,中层（共31层）,北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/3_356717336.htm?channel=l,2&psid=4_9_60",优质教育
 中业新城 全新毛坯 大四房 南北对流户型 高层,7351元每平方米,136万元,4室2厅,185平方米,2014年建,北向,高层（共32层）,北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/3_356844341.htm?channel=l,2&psid=4_10_60"
 成熟商圈江海碧桂园精装二房近中环广场,11117元每平方米,78万元,2室2厅,16平方米,2011年建,东北向,高层（共32层）,北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/3_354498007.htm?channel=l,2&psid=4_11_60",优质教育
 {超、大阳台}五福街 精装实用2房可改3房,5273元每平方米,58万元,2室2厅,110平方米,1999年建,东南向,中层（共8层）,北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/3_356586902.htm?channel=l,2&psid=4_12_60",满二
" 天英月珑湾,精美中层3房 业主割爱转让 127万",12959元每平方米,127万元,3室2厅,98平方米,2014年建,南向,中层（共32层）,北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/3_357257049.htm?channel=l,2&psid=4_13_60"
