,perPrice,room,hall,restroom,houseSize,elevator,decorate,houseAge,SingelHouse,cAa,东,东北,东南,东西,北,南,南北,西,西北,西南
0,8716 ,3,2,2,3,1,1,0,1,3.8,0,0,0,0,0,1,0,0,0,0
1,7547 ,3,2,2,3,1,1,2,0,2.6,0,0,0,0,0,1,0,0,0,0
2,7391 ,3,2,2,3,1,1,2,1,3.8,0,0,0,0,0,1,0,0,0,0
3,7280 ,3,2,2,3,1,2,0,0,2.3,0,0,0,0,0,1,0,0,0,0
4,8673 ,3,2,1,2,1,1,0,0,2.3,0,0,0,0,0,0,1,0,0,0
5,7698 ,3,2,2,3,1,1,2,1,2.4,0,0,0,0,0,0,1,0,0,0
6,10267 ,3,1,1,2,1,0,0,0,2.5,0,0,0,0,0,1,0,0,0,0
7,4545 ,3,2,1,2,0,1,2,1,2.5,0,0,0,0,0,1,0,0,0,0
8,8315 ,3,2,2,3,1,0,0,0,2.7,0,0,1,0,0,0,0,0,0,0
9,7239 ,3,2,4,3,0,1,1,1,2.5,0,0,0,0,0,0,1,0,0,0
10,10000 ,3,2,1,2,1,0,1,1,2.6,0,0,0,0,0,1,0,0,0,0
11,11529 ,3,2,1,2,1,2,1,1,2.5,0,0,0,0,0,1,0,0,0,0
12,3061 ,3,2,2,2,0,1,2,1,2.4,0,0,0,0,0,1,0,0,0,0
13,10444 ,3,2,1,2,1,0,1,1,4.2,0,0,0,0,0,1,0,0,0,0
14,10405 ,3,2,2,2,1,1,1,1,2.2,0,0,0,0,0,1,0,0,0,0
15,4250 ,3,2,2,2,0,2,1,1,1.7,0,0,1,0,0,0,0,0,0,0
16,10000 ,3,2,2,2,1,1,2,1,2.8,0,0,0,0,0,1,0,0,0,0
17,10795 ,3,2,1,2,1,0,1,0,2.3,0,0,0,0,0,0,1,0,0,0
18,8421 ,3,2,2,2,1,1,2,1,2.3,0,0,0,0,0,0,1,0,0,0
19,7009 ,3,2,2,3,1,1,0,0,3.8,0,0,0,0,0,1,0,0,0,0
20,8090 ,3,2,1,2,1,0,1,1,2.4,0,0,0,0,0,1,0,0,0,0
21,10529 ,3,2,1,2,1,1,1,0,3.5,0,0,0,0,1,0,0,0,0,0
22,9889 ,3,2,1,2,1,0,1,0,2.6,0,0,0,0,0,1,0,0,0,0
23,4400 ,3,2,2,2,0,1,1,1,2.6,0,0,0,0,0,0,1,0,0,0
24,9588 ,3,2,2,2,1,0,1,0,2.6,0,0,0,0,0,1,0,0,0,0
25,9892 ,3,2,2,2,1,1,2,1,2.5,0,0,0,0,0,1,0,0,0,0
26,10889 ,3,2,2,2,1,0,1,0,4.2,0,0,0,0,0,1,0,0,0,0
27,7494 ,3,2,2,3,1,1,0,1,3.8,0,0,0,0,0,1,0,0,0,0
28,7364 ,3,2,2,3,1,1,1,1,2.6,0,0,1,0,0,0,0,0,0,0
29,7824 ,3,2,2,3,1,1,2,1,3.8,0,0,0,0,0,0,1,0,0,0
30,6241 ,3,2,2,3,1,1,1,1,3.0,0,0,0,0,0,0,1,0,0,0
31,8706 ,3,2,1,2,1,1,0,1,3.8,0,0,0,0,1,0,0,0,0,0
32,5978 ,3,2,1,2,1,2,2,1,2.0,0,0,0,0,0,0,1,0,0,0
33,6444 ,3,2,1,2,1,2,1,1,2.2,0,0,0,0,0,0,1,0,0,0
